SKU Prefix,Crop,Common Name,Variety,Description Line 1,Description Line 2,Description Line 3,Group,BACK 1,BACK 2,BACK 3,BACK 4,BACK 5,BACK 6,BACK 7,Days,Species,Radicchio Type
CRP-RO,COREOPSIS,,Roulette,Carefree & graceful 3’x3’ plants with sprays ,of two-toned ruby red & gold petals.,,Flower,Sow: 6-8 weeks before last frost/put out after frost,Planting Depth: barely cover ,Days to Germinate: 15-25 @ Soil Temp: 65-80F,Spacing after Thinning: 12-18” ,Light: full to part sun,"Drought tolerant, deer resistant. Loved by insects",& humans. Flowers until frost. Cut flower.,65-75 Days,Coreopsis tinctoria,
COS-DI,COSMOS SULPHUREUS,,Diablo,Showcase of scarlet/orange semi-,double blooms. Striking & carefree!,,Flower,Sow: 4-6 weeks before last frost  ,Transplant/direct sow after last frost ,Planting Depth: ½”,Days to Germ: 7-14 @ Soil Temp: 60-75F,Spacing after Thinning: 10-18”,Light: full sun,Plant in clusters. Delightful cut flower.,75 Days,Cosmos sulphureus,
COS-SP,COSMOS,,Snow Puff,Glorious plants covered w/a dense,carpet of semi-double white blooms!,,Flower,Sow: 4-7 weeks before last frost  ,Transplant/direct seed after last frost,Planting Depth: Barely cover,Days to Germ: 7-14 @ Soil Temp: 60-75F,Spacing after Thinning: 12-18”,Light: full sun,Notes: excellent cut flower! ,75-90 Days,Cosmos bipinnatus,
COS-VE,COSMOS,,Velouette,"Masses of crimson, dusty rose & ",striped blooms on 3-4’ plants.,,Flower,Sow: 4-7 weeks before last frost  ,Transplant/direct seed after last frost,Planting Depth: Barely cover,Days to Germ: 7-14 @ Soil Temp: 60-75F,Spacing after Thinning: 12-18”,Light: full sun,Notes: excellent cut flower! ,70-85 Days,Cosmos bipinnatus,
CRA-SB,Craspedia,,Sun Ball,Dense 1.5” golden orbs float on 30” ,wiry stems. Excellent fresh/dry cut flower.,,Flower,Sow: 6-8 weeks before last frost  ,Transplant (recommend) out after last frost ,Planting Depth: 1/8” lightly cover w/vermiculite,Days to Germinate: 14-20 @ Soil Temp: 70-75F,Spacing after Thinning: 10-12”,Light: full sun,Notes: delightful cut flower fresh & dried,110 Days,Craspedia globosa,
DAT-SA,DATURA WRIGHTII,,Sacred Datura,Fragrant 8” white trumpet flowers with ,lavender highlights to scent your evenings.,,Flower,Sow: indoors 2-4 wks before last frost,Transplant/direct sow after danger of frost,"Planting depth: ¼""",Days to Germinate: 10-14 @ Soil Temp: 70-80F,Spacing after Thinning: 16-18”,Light: full sun,Notes: perennial. All parts are toxic!,Perennial,Datura wrightii,
ERY-BG,ERYNGIUM,,Blue Glitter,Aka Sea Holly. Dazzling blooms & foliage of ,silvery cobalt blue. Abuzz w/pollinators!,,Flower,Sow: 6-8 weeks before last frost,Transplant after frost,"Planting depth: surface sow, light required to germ",Days to Germinate: 7-10 @ Soil Temp: 75F,Spacing  after Thinning: 18-24”,Light: full sun,"Great cut, fresh or dried. Abuzz w/beneficials!",Perennial,Eryngium giganteum,
FLA-OM,FLAX,,Omega,"Graceful 3’ plants w/abundant, cheerful", sky-blue flowers. Nutritious golden seeds.,,Flower,Sow: spring,Direct seed after last frost,Planting Depth: ⅛”,Days to germinate: 5-12 @ Soil temp: 70F,Spacing after thinning: 4-6”,Light: full sun,Nutritious golden seeds. Drought tolerant.,60-70 Days,Linum usitatissimum,
FOX-AB,FOXGLOVE,,Apricot Beauty,Soaring 4-5’ spikes of apricot buds open into ,stunning flowers. Well worth the wait!,,Flower,Sow: 10-12 weeks before last frost,Transplant out after danger of frost,Planting Depth: ¼”,Days to Germinate: 14-21 @ Soil Temp: 65-70F,Spacing after Thinning: 9-12”,Light: full to part sun,Slight chance of blooms first year. Enjoy!,Biennial,Digitalis sp. ,
FOX-CC,FOXGLOVE,,Café Crème,Elegant beauty w/orchid like golden blooms, veined in burgundy. Red stems bring drama!,,Flower,Sow: 10-12 weeks before last frost,Transplant out after danger of frost,Planting Depth: ¼”,Days to Germinate: 14-21 @ Soil Temp: 65-70F,Spacing after Thinning: 9-12”,Light: full to part sun,Start early for blooms the first year. Enjoy!,Perennial,Digitalis sp. ,
FOX-YH,FOXGLOVE,,Giant Yellow Herold,Stately spires of rich golden blooms w/finely ,detailed burgundy veining. 5-6’.,,Flower,Sow: 10-12 weeks before last frost,Transplant out after danger of frost,Planting Depth: ¼”,Days to Germinate: 14-21 @ Soil Temp: 65-70F,Spacing after Thinning: 9-12”,Light: full to part sun,Slight chance of blooms first year. Enjoy!,Biennial,Digitalis sp. ,
FOX-WC,FOXGLOVE,,Wild Cascades,Long lasting showy perennials to lure  ,hummingbirds into your garden for good!,,Flower,Sow: 10-12 weeks before last frost,Transplant out after danger of frost,Planting Depth: ¼”,Days to Germinate: 14-21 @ Soil Temp: 65-70F,Spacing after Thinning: 9-12”,Light: full to part sun,Start early for blooms the first year. Enjoy!,Biennial,Digitalis sp. ,
GYP-CG,GYPSOPHILA,,Covent Garden,"Quick growing, petite white flowers in sprays ",for classic bouquet filler. aka Baby’s Breath.,,Flower,Sow: in flats 6-8 weeks before last frost or direct,sow every 2-3 wks. (recommend) after last frost,"Planting Depth: 1/8”, cover lightly",Days to Germinate: 7-14 @ Soil Temp: 70F,"Spacing after Thinning: 8”. 2' plants, ½""-¾” flowers.",Light: full to part sun. Appreciates low fertility.,Cut when flowers of spray are 70-80% open. ,50-60 Days,Gypsophila elegans,
JAC-BP,JACOBS LADDER,,Blue Pearl,Ferny foliage & clusters of 1” sky-blue ,spring blooms w/yellow anthers. 2.5’ tall.,,Flower,Sow: in flats 6-8 weeks before last frost,Transplant or direct seed after danger of frost,Planting Depth: lightly covered,Days to Germ: 20-30 @ Soil Temp: 70F,Spacing after Thinning: 12-18”,Light: partial shade,Blooms late spring w/2nd bloom after cutting,Perennial,Polemonium foliosissimum,
LAR-BC,LARKSPUR,,Blue Cloud,Delicate ferny foliage w/abundant sprays of ,exquisite small blue flowers. Full & graceful.,,Flower,Sow: early spring,Transplant  6-8 wk starts or direct seed,Planting depth: ⅛ - ¼”(needs dark to germ),Days to Germinate: 14-21 days @ Soil Temp: 55F,Space after Thinning: 12”-18” (2-3’x2-3’ plant),Light: full to part sun,Chill seed 1wk/does not germ well >55F,75 Days,Delphinium sp.,
LAR-EG,LARKSPUR,,Earl Grey,Silvery slate purple flowers on 4’ plants. ,"Sublime cut for summer bouquets, or dried.",,Flower,Sow: early spring,Transplant  6-8 wk starts or direct seed,Planting depth: ⅛ - ¼”(needs dark to germ),Days to Germ: 14-21 @ Soil Temp: 55F,Space after Thinning: 12”-18” (2-3’x2-3’ plant),Light: full to part sun,Chill seed 1wk/does not germ well >55F,90 Days,Delphinium sp.,
LAR-SB,LARKSPUR,,Salmon Beauty,Dusty rose-pink 9-12” flower spikes w/hints ,of salmon undertones. Sublime in all ways.,,Flower,Sow: early spring,Transplant  6-8 wk starts or direct seed,Planting depth: ⅛ - ¼”(needs dark to germ),Days to Germinate: 14-21 days @ Soil Temp: 55F,Space after Thinning: 12”-18” (2-3’ x 2-3’ plant),Light: full to part sun,Chill seed 1wk/does not germ well >55F,90 Days,Delphinium sp.,
LAR-WC,LARKSPUR,,White Cloud,Charming white flowers float atop ,"ferny foliage. Open, graceful & bright!",,Flower,Sow: early spring,Transplant 6-8 wk starts or direct seed,Planting depth: ⅛ - ¼” (needs dark to germ),Days to germinate: 14-21 @ Soil temp: 55F,Space after thinning: 12”-18”,Light: full to part sun,Chill seed 1wk; does not germ well >55F,75 Days,Consolida regalis,
MAL-PL,MALLOW,,Pink Lavatera,"Masses of funnel shaped, rose pink, hibiscus ",like blooms & buds. Long lasting cut flower.,,Flower,Sow: 6-8 wks before last frost,Transplant or direct seed after last frost,Planting Depth: ⅛-¼”,Days to Germinate: 15-20 @ Soil Temp: 65-75F,Spacing after Thinning: 16-24” (2-3’ tall),Light: full sun,Notes: Long lasting cut flower. Hardy. ,80-90 Days,Malva crispa,
MAR-FB,MARIGOLD,,French Brocade,Radiant doubled red blooms accented w/gold. ,Lovely & lasting! 12-18”.,,Flower,Sow: 6-8 wks before last frost,Transplant or direct seed after last frost,Planting depth: ½”,Days to Germ: 4-14 days @ Soil Temp: 70-80F,Space after Thinning: 8-18” (12-18” plants),Light: full sun,Classic aroma/valued for nematode control,60-70 Days,Tagetes sp.,
MAR-GE,MARIGOLD,,Gems,Cheerful 10-12” mounds of edible scented ,"mini flowers in tangerines, lemons, & reds!",,Flower,Sow: 6-8 wks before last frost,Transplant or direct seed after last frost,Planting depth: ½”,Days to Germ: 4-14 days @ Soil Temp: 70-80F,Space after Thinning: 8-18”,Light: full sun,Pleasant aroma/excellent edible flower. Happy!,60-70 Days,Tagetes sp.,
MAR-PI,MARIGOLD,,Pinwheel,Profusion of cheerful red & yellow bicolor ,blooms on 3-4’ vibrant & playful green plants.,,Flower,Sow: 6-8 wks before last frost,Transplant or direct seed after last frost,Planting depth: ½”,Days to Germ: 4-14 days @ Soil Temp: 70-80F,Space after Thinning: 16-18” ,Light: full sun,Note: Classic aroma. Very tall and bushy.,80-90 Days,Tagetes sp.,
MGL-GO,MORNING GLORY,,Grandpa Ott's,Glowing purple trumpets w/ruby ,star-patterned center. 10’ climber!,,Flower,Sow: 2-4 weeks before last frost,Transplant/direct seed 2-3 wks after last frost,Planting Depth: ½-1”,Days to germinate: 6-20 @ Soil temp: 65-85F,Spacing after thinning: 6-12”,Light: full to part sun,Nick & soak seed 24 hrs to aid germination,70 Days,Ipomoea tricolor,
VRB-AS,"MULLEIN, TURKISH",TURKISH MULLEIN,Arctic Summer,Like a giant willowy candelabra covered in ,thick wooly white fuzz & golden blooms!,,Flower,Sow: 4-8 weeks before last frost,Transplant out after danger of frost,Sowing Depth: cover seed lightly,Days to Germinate: 7-20 @ Soil Temp: 65-75F,Spacing after Thinning: 12-18”,Light: full to part sun,Notes: perennial; blooms second year,Perennial,Verbascum bombyciferum,
VRB-PM,"MULLEIN, VERBASCUM",VERBASCUM,Phoenician Mullein,Clusters of small white flowers w/exquisite ,fuzzy mauve stamens on 2’ spikes. Bee party!,,Flower,Sow: 4-8 weeks before last frost,Transplant out after danger of frost,Planting depth: cover lightly,Days to germinate: 7-20 @ Soil temp: 65-75F,Spacing after thinning: 12-18”,Light: full to part sun,Notes: perennial; blooms second year,Perennial,Verbascum chaxii,
NAS-AL,NASTURTIUM,,Alaska,Uniquely variegated leaves & a cheerful ,mix of flower colors. Edible & spicy!,,Flower,Transplant/direct sow 2 weeks before last frost,Planting Depth: 1”,Days to Germinate: 7-10 @ Soil Temp: 60-65F,Spacing after Thinning: 12-18”  ,Light: Full sun-part shade.,Fertility: moderate,"Cover seed well, requires darkness to germ",60 Days,Tropaeolum sp.,
NAS-TM,NASTURTIUM,,Trailing Mix,"Long lasting, cheerful and edible ",w/ornamental leaves and bright blooms!,,Flower,Transplant/direct sow 2 wks before last frost,Planting Depth: 1”,Days to Germ: 7-10 @ Soil Temp: 60-65F,Spacing after Thinning: 12-18”  ,Light: Full sun-part shade. 60-65 days.    ,Fertility: moderate,"Cover seed well, requires darkness to germ",60-65 Days,Tropaeolum sp.,
NIC-LD,NICOTIANA,,Langsdorff's Tobacco,"Profusion of pendulous, lime green blooms ",w/surprising blue pollen. Splendid cut flower!,,Flower,Sow: 6-8 weeks before last frost,Transplant out after danger of frost,Planting Depth: ⅛”,Days to Germ: 7-14 @ Soil Temp: 70-85F,Spacing after Thinning: 12” (3-4’ plant),Light: full to part sun,Notes: cover seed lightly. Will self sow.,80 Days,Nicotiana langsdorffii,
NIC-LG,NICOTIANA,,Lime Green,Striking chartreuse green flowers release an ,intoxicating fragrance. Charming cut flower.,,Flower,Sow: 6-8 weeks before last frost,Transplant out after danger of frost,Planting Depth: ⅛”,Days to Germ: 7-14 @ Soil Temp: 70-85F,Spacing after Thinning: 12” (3-4’ plant),Light: full to part sun,Notes: cover seed lightly. Will self sow.,75 Days,Nicotiana x sanderae,
NIC-PS,NICOTIANA,,Peach Screamer,Spires of peachy salmon cup-shaped ,flowers attractive to hummingbirds.,,Flower,Sow: 6-8 weeks before last frost,Transplant out after danger of frost,Planting depth: ⅛”,Days to Germ: 7-14 @ Soil Temp: 70-85F,Spacing after thinning: 12” (3-4’ plant),Light: full to part sun,Notes: cover seed lightly. Will self sow.,75 Days,Nicotiana glutinosa,
NIC-OL,NICOTIANA,,Only The Lonely,"Clusters of long, tubular, fragrant white ",flowers like trailing fireworks. Statuesque 6’!,,Flower,Sow: 6-8 weeks before last frost,Transplant out after danger of frost,Planting Depth: ⅛”,Days to Germ: 7-14 @ Soil Temp: 70-85F,Spacing after thinning: 12” (3-4’ plant),Light: full to part sun,Notes: cover seed lightly. Will self sow.,90 Days,Nicotiana sylvestris,
NIG-BS,NIGELLA BUCHARICA,,Blue Stars,"Edible, starry blue, 5-petaled  ","joyful flowers. Cut, eat, and enjoy!",,Flower,Sow: early spring or 2-4 wks before last frost,Direct seed recommended,"Planting depth: ⅛""",Days to germinate: 10-15 @ Soil temp: 60-75F,Spacing after thinning: 8-12” (8-12” tall),Light: Full to part sun,Notes: edible flower/cut flower,50-60 Days,Nigella sativa,
NIG-EX,NIGELLA HISPANICA,,Exotica,Passionflower-like purple blooms make for ,irresistible and long lasting cut flowers!,,Flower,Sow: early spring or 2-4 wks before last frost,Transplant 2-4wk starts or direct seed,Planting Depth: ⅛”,Days to Germinate: 10-15 @ Soil Temp: 60-75F,Spacing after Thinning: 8-12” (18-24” tall),Light: full to part sun,Fresh/dried flower. Beloved by beneficials!!,75-85 Days,Nigella sativa,
NIG-BV,NIGELLA PAPILLOSA,,Bridal Veil,Pure white petals w/deep purple elongated ,anthers & lacy foliage. Fresh/dry 2’ beauty!,,Flower,Sow: early spring or 2-4 wks before last frost,Transplant 2-4wk starts or direct seed,Planting Depth: ⅛”,Days to Germinate: 10-15 @ Soil Temp: 60-75F,Spacing after Thinning: 8-12” (18-24” tall),Light: full to part sun,Fresh/dried flower. Beloved by beneficials!!,70-80 Days,Nigella papillosa,
NIG-DB,NIGELLA PAPILLOSA,,Delft Blue,Breathtaking colors from white to streaked ,grey & blue to pure purple. Fresh/dry beauty!,,Flower,Sow: early spring or 2-4 wks before last frost,Transplant 2-4wk starts or direct seed,Planting Depth: ⅛”,Days to Germinate: 10-15 @ Soil Temp: 60-75F,Spacing after Thinning: 8-12” (18-24” tall),Light: full to part sun,Fresh/dried flower. Beloved by beneficials!!,70-80 Days,Nigella papillosa,
GRS-BT,ORNAMENTAL GRASS,,Bunny Tails,Velvety grass produces irresistible & downy ,flower clusters resembling the tail of a bunny!,,Flower,Sow: 6-8 weeks before last frost,Transplant (easily mistaken for other grasses),"Planting depth: ¼""",Days to germ: 15-20 @ Soil temp: 55-65F,Spacing after thinning: 9-12”,Light: full sun to part shade,Notes: cut and dry flower ,95-120 Days,Lagurus ovatus,
GRS-FE,ORNAMENTAL GRASS,,Frosted Explosion,Glittering wands of green & bronze add ,radiance to bouquets. Like sparklers!!,,Flower,Sow: 5-6 weeks before last frost,Transplant (easily mistaken for other grasses),Planting Depth: lightly covered ~⅛”,Days to Germinate: 7-14 @ Soil Temp: 60-65F,Spacing after Thinning: 10-12”,Light: full sun,Notes: cut plumes often to avoid self-seeding ,90-110 Days,Panicum elegans,
PHA-BF,PHACELIA TANACETIFOLIA,BEE'S FRIEND,Bee's Friend,Phacelia tanacetifolia.,Fern-like foliage w/unfurling fiddleheads of ,luminescent blue flowers. Bees go wild!,Flower,Sow: early spring,Direct seeding recommended ,Planting Depth: ¼”,Days to Germ: 10-20 @ Soil Temp: 55-65F,Spacing after Thinning: 8-12”,Light: full to part sun,Attracts bees & beneficial insects in droves!,75-85 Days,Phacelia tanacetifolia,
POP-AG,"POPPY, SHIRLEY",SHIRLEY POPPY,Amazing Grey,"Atmospheric hues of dusty lilac, pearly purple ",& slate grey-blue petite blooms! 2.5-3’ tall.,,Flower,Sow: late fall or early spring,Direct seeding recommended ,Planting Depth: ¼-½”,Days to Germinate: 7-18 @ Soil Temp: 50-60F,Spacing after Thinning: 8-12”,Light: full to part sun,"Notes: wait, smile, feel joy. Drought tolerant.",55-65 Days,Papaver sp.,
POP-CA,"POPPY, CALIFORNIA",CALIFORNIA POPPY,California Mix,Unique color palette ranging from soft ,"pastels to rich oranges, violets, reds, etc.  ",,Flower,Sow: late fall or early spring,Direct seeding recommended ,Planting Depth: ¼-½”,Days to Germinate: 7-18 @ Soil Temp: 50-60F,Spacing after Thinning: 8-12”,Light: full to part sun,"Notes: wait, smile, feel joy. Drought tolerant.",55-60 Days,Eschscholzia californica,
POP-BS,"POPPY, PEONY",PEONY POPPY,Black Swan,Striking midnight purple flowers w/finely ,"cut, frilly petals. Elegant & lovely. To 4’.",,Flower,Sow: late fall or early spring,Direct seeding recommended ,Planting Depth: ⅛”,Days to Germ: 10-25 @ Soil Temp: 50-70F,Spacing after Thinning: 8-10”,Light: full to part sun,"Notes: wait, smile, feel joy",80-90 Days,Papaver somniferum,
POP-CO,"POPPY, SHIRLEY",SHIRLEY POPPY,Cornfield,Long blooming pretty red poppies. ,Sprinkle. Wait. Smile & celebrate!,,Flower,Sow: late fall or early spring,Direct seeding recommended ,Planting Depth: ¼-½”,Days to Germ: 7-18 @ Soil Temp: 50-60F,Spacing after Thinning: 8-12”,Light: full to part sun,"Wait. Smile, feel joy. Drought tolerant.",55-65 Days,Papaver sp.,
POP-DF,"POPPY, BREADSEED",BREADSEED POPPY,Danish Flag,Distinct white cross pattern amid lipstick ,red deeply cut petals. Sure to please!,,Flower,Sow: late fall or early spring,Direct seeding recommended,Planting Depth: ⅛ “ ,Days to germinate: 7-21 @ Soil temp: 50-70F,Spacing after thinning: 8-12”,Light: full to part sun,Notes: benefits from staking; self sows,80-90 Days,Papaver sp.,
POP-FA,"POPPY, PEONY",PEONY POPPY,Flemish Antique,Show stoppers! Voluptuous peony-,like blooms in Victorian pastels.,,Flower,Sow: late fall or early spring,Direct seeding recommended,Planting Depth: ⅛ “ ,Days to Germ: 7-21 @ Soil Temp: 50-70F,Spacing after Thinning: 8-12”,Light: full to part sun,"Benefits from staking, self sows",80 Days,Papaver sp.,
POP-ZI,"POPPY, BREADSEED",BREADSEED POPPY,Ziar,Lavender flowers w/large seedheads,filled w/unusually sweet seeds.,,Flower,Sow: late fall or early spring,Direct seed or gently transplant,Planting Depth: ⅛”,Days to Germ: 10-25 @ Soil Temp: 50-60F,Spacing after Thinning: 8”,Light: full to part sun,Notes: culinary poppy seeds,90 Days,Papaver somniferum,
POP-PM,"POPPY, ICELAND",ICELAND POPPY,Pastel Meadows,Flowers like translucent stained,glass w/endless radiant blooms.,,Flower,Sow: late fall or early spring,Direct seed or gently transplant,Planting Depth: Surface/light cover. ,Days to Germ: 14-30 @ Soil Temp: 50-70F,Spacing after Thinning: 8-12”,Light: full to part sun,Notes: needs light to germinate,60-75 Days,Papaver nudicaule,
